Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
83,Jonathan Bornstein,us USA,DFFW,Chicago Fire,37-236,1984,5.7,178,228,78.1,2758,1222,108,129,83.7,56,71,78.9,12,17,70.6,0,0.3,-0.3,6,11,4,2,16,Matches,79a6c95f
84,Dylan Borrero,co COL,FW,New England,20-177,2002,4,92,126,73,1762,517,41,50,82,36,43,83.7,14,28,50,1,1.2,-0.2,4,3,6,3,13,Matches,a72d14de
85,Gustavo Bou,ar ARG,FW,New England,32-133,1990,7.4,144,212,67.9,2934,671,68,87,78.2,50,68,73.5,26,44,59.1,1,1.1,-0.1,11,13,10,1,21,Matches,3dfcc735
86,Ousseni Bouda,bf BFA,FW,San Jose,22-064,2000,1.2,33,44,75,535,111,14,16,87.5,14,15,93.3,3,7,42.9,0,0.1,-0.1,1,0,3,1,2,Matches,0672f944
87,Michael Boxall,nz NZL,DF,Minnesota Utd,33-317,1988,15,473,549,86.2,10316,3509,131,144,91,237,264,89.8,98,127,77.2,0,0,0,0,40,0,0,31,Matches,6bfa0d3a
88,Michael Bradley,us USA,MF,Toronto FC,34-335,1987,16.9,876,1034,84.7,15846,5113,378,417,90.6,362,405,89.4,113,177,63.8,1,1,0,10,73,14,0,105,Matches,fd5e3a73
89,Zachary Brault-Guillard,ca CAN,DF,CF Montréal,23-183,1998,3.7,145,183,79.2,2464,648,73,81,90.1,62,81,76.5,9,14,64.3,2,1.3,0.7,10,3,12,5,10,Matches,948a58c2
90,Claudio Bravo,ar ARG,DF,Portland Timbers,25-110,1997,10.7,558,719,77.6,10986,4945,209,232,90.1,253,307,82.4,85,152,55.9,0,0.3,-0.3,4,71,13,4,83,Matches,5619c5e8
91,Brenner,br BRA,FW,FC Cincinnati,22-166,2000,7.2,178,216,82.4,3143,481,88,103,85.4,58,65,89.2,26,36,72.2,2,1.2,0.8,15,10,8,1,12,Matches,279508bf
92,Sebastian Breza,ca CAN,GK,CF Montréal,24-108,1998,17,383,471,81.3,9208,5859,124,124,100,134,140,95.7,110,192,57.3,0,0,0,0,3,0,0,1,Matches,52e7f812
93,Emiliano Brienza,ca CAN,FW,Vancouver,20-053,2002,0,6,6,100,128,20,1,1,100,4,4,100,1,1,100,0,0,0,0,0,1,0,1,Matches,b54cf257
94,Andrew Brody,us USA,DF,Real Salt Lake,27-059,1995,16.3,607,771,78.7,10788,4666,273,307,88.9,270,325,83.1,57,106,53.8,0,1.8,-1.8,13,71,16,7,77,Matches,33e46323
95,Brandt Bronico,us USA,MF,Charlotte FC,27-011,1995,16.7,744,891,83.5,15677,3338,217,253,85.8,414,466,88.8,108,151,71.5,0,0.1,-0.1,6,70,3,0,55,Matches,bd4460b1
96,Javain Brown,jm JAM,DF,Vancouver,23-114,1999,11.9,417,564,73.9,8378,3532,156,179,87.2,184,232,79.3,72,123,58.5,0,0.7,-0.7,10,27,16,10,41,Matches,3d14c62e
97,Will Bruin,us USA,FW,Seattle,32-250,1989,4.3,84,109,77.1,1086,211,53,60,88.3,19,24,79.2,3,6,50,0,0.3,-0.3,5,5,0,0,2,Matches,87a6ac29
98,Adam Buksa,pl POL,FW,New England,25-354,1996,9.1,118,161,73.3,1889,314,66,89,74.2,37,47,78.7,11,13,84.6,2,0.3,1.7,2,10,0,0,9,Matches,3b676989
99,Teal Bunbury,us USA,FW,Nashville,32-124,1990,1.3,28,35,80,405,9,17,21,81,10,12,83.3,1,1,100,0,0,0,1,1,0,0,0,Matches,3077fce8
100,Nkosi Burgess,us USA,DF,FC Dallas,25-111,1997,7,366,414,88.4,8195,2645,95,101,94.1,200,208,96.2,68,99,68.7,0,0.2,-0.2,2,15,2,1,17,Matches,4a07ae31
101,Cory Burke,jm JAM,FW,Philadelphia,30-185,1991,6.9,81,146,55.5,1429,407,43,77,55.8,27,40,67.5,11,19,57.9,0,1.1,-1.1,4,7,3,2,10,Matches,39fde61c
102,Handwalla Bwana,so SOM,FW,Nashville,25-006,1997,0.1,6,8,75,82,29,4,5,80,2,2,100,0,0,,0,0,0,1,0,0,0,1,Matches,b56080ee
103,Brandon Bye,us USA,DF,New England,26-214,1995,13,594,778,76.3,11019,4097,275,313,87.9,234,304,77,77,123,62.6,4,2.6,1.4,28,31,32,24,50,Matches,9fcd12af
104,Kevin Cabral,fr FRA,FWMF,LA Galaxy,22-356,1999,9.7,184,240,76.7,3062,597,95,114,83.3,62,74,83.8,21,36,58.3,0,2.2,-2.2,14,10,10,3,21,Matches,42af215b
105,Deiber Caicedo,co COL,FWMF,Vancouver,22-098,2000,10.9,247,313,78.9,4597,978,113,127,89,93,113,82.3,32,51,62.7,2,2.7,-0.7,21,11,15,5,17,Matches,9bfa2f52
106,Scott Caldwell,us USA,MF,Real Salt Lake,31-108,1991,9.9,347,411,84.4,6220,1610,142,159,89.3,156,182,85.7,37,53,69.8,0,0.1,-0.1,3,41,2,1,31,Matches,4a54592d
107,Drake Callender,us USA,GK,Inter Miami,24-267,1997,8,203,280,72.5,5631,3220,38,40,95,100,104,96.2,65,136,47.8,0,0,0,0,4,0,0,0,Matches,c4d9567d
108,Alexander Callens,pe PER,DF,NYCFC,30-058,1992,16,899,1002,89.7,18123,7175,282,295,95.6,481,512,93.9,126,179,70.4,0,0,0,0,48,3,0,51,Matches,af34f10d
109,Francisco Calvo,cr CRC,DF,San Jose,29-358,1992,13,801,955,83.9,18373,6420,211,233,90.6,403,448,90,184,262,70.2,0,0.2,-0.2,4,72,4,2,64,Matches,706bd23f
110,Rudy Camacho,fr FRA,DF,CF Montréal,31-118,1991,15,847,972,87.1,17957,6893,271,285,95.1,438,470,93.2,134,202,66.3,0,0.4,-0.4,4,45,1,0,45,Matches,6ad16d47
111,Geoff Cameron,us USA,DF,FC Cincinnati,36-355,1985,9.7,250,308,81.2,5720,2206,68,79,86.1,130,150,86.7,52,73,71.2,0,0.2,-0.2,2,27,0,0,23,Matches,1a160ea3
112,Leonardo Campana,ec ECU,FW,Inter Miami,21-342,2000,11.9,191,235,81.3,3298,380,104,120,86.7,59,69,85.5,22,31,71,1,1.7,-0.7,11,13,7,0,16,Matches,bf9c0749
113,George Campbell,us USA,DF,Atlanta Utd,21-009,2001,10.9,532,627,84.8,11353,3937,178,197,90.4,241,262,92,107,148,72.3,0,0.6,-0.6,5,34,1,0,33,Matches,45e1a597
114,Russell Canouse,us USA,MF,D.C. United,27-020,1995,9.5,233,304,76.6,4353,1137,106,136,77.9,88,103,85.4,33,46,71.7,1,0.7,0.3,5,19,5,1,29,Matches,ec730d9a
115,Nathan Cardoso,br BRA,DF,San Jose,27-049,1995,8.2,476,531,89.6,11113,2862,97,110,88.2,260,278,93.5,116,137,84.7,0,0.1,-0.1,2,17,2,0,19,Matches,d4438745
116,Antonio Carlos,br BRA,DF,Orlando City,29-116,1993,5.7,247,272,90.8,5739,1961,60,61,98.4,131,136,96.3,56,72,77.8,0,0,0,0,20,1,0,22,Matches,949fe1e8
117,Julián Carranza,ar ARG,FW,Philadelphia,22-040,2000,11.2,176,252,69.8,2576,434,104,132,78.8,52,69,75.4,12,20,60,3,0.6,2.4,5,8,6,0,13,Matches,3e9ae1db
118,Adalberto Carrasquilla,pa PAN,MF,Houston Dynamo,23-215,1998,11.6,484,593,81.6,9877,2631,184,214,86,202,222,91,91,138,65.9,0,0.9,-0.9,9,76,7,1,61,Matches,f087912d
119,Javier Casas,us USA,MF,Chicago Fire,19-048,2003,0.2,3,5,60,34,0,2,4,50,1,1,100,0,0,,0,0,0,0,0,0,0,0,Matches,2ed8d81b
120,Julio Cascante,cr CRC,DF,Austin FC,28-271,1993,16,841,954,88.2,19263,6332,201,219,91.8,441,478,92.3,185,235,78.7,2,0.4,1.6,5,73,3,0,61,Matches,cc120b4f
121,Cristian Cásseres Jr.,ve VEN,MFFW,NY Red Bulls,22-162,2000,12.1,365,500,73,6382,2060,171,218,78.4,147,188,78.2,41,63,65.1,0,1.9,-1.9,18,43,18,3,51,Matches,f86fe8c1
122,Valentín Castellanos,ar ARG,FW,NYCFC,23-271,1998,12.6,231,353,65.4,3719,883,130,175,74.3,75,119,63,20,33,60.6,1,3.2,-2.2,26,17,18,2,35,Matches,da76bab4
123,Lucas Cavallini,ca CAN,FW,Vancouver,29-185,1992,10.7,199,266,74.8,3517,693,107,128,83.6,48,72,66.7,34,45,75.6,1,1.9,-0.9,7,18,4,3,18,Matches,dd8de641
124,Roman Celentano,us USA,GK,FC Cincinnati,21-290,2000,10,167,261,64,5507,3511,30,30,100,62,63,98.4,73,166,44,0,0,0,0,5,1,0,0,Matches,42ba8628
125,Darwin Cerén,sv SLV,MF,Houston Dynamo,32-182,1989,7.5,272,313,86.9,5804,1349,97,107,90.7,120,135,88.9,52,67,77.6,0,0.2,-0.2,5,23,1,0,20,Matches,a58de3f0
126,Edwin Cerrillo,us USA,MF,FC Dallas,21-271,2000,8.7,427,476,89.7,7686,1747,189,200,94.5,186,204,91.2,44,55,80,0,0.4,-0.4,2,42,1,0,25,Matches,bd060315
127,Maikel Chang,cu CUB,MFFW,Real Salt Lake,31-074,1991,11,269,371,72.5,4923,1391,118,143,82.5,105,138,76.1,39,65,60,4,2.1,1.9,16,20,18,11,29,Matches,04cc9edd
128,Maxime Chanot,lu LUX,DF,NYCFC,32-222,1989,3.7,172,200,86,3859,1259,36,37,97.3,109,116,94,25,43,58.1,0,0,0,0,13,0,0,10,Matches,ca366055
129,Diego Chará,co COL,MF,Portland Timbers,36-087,1986,14.1,656,729,90,12874,3773,246,264,93.2,315,335,94,87,114,76.3,1,1.2,-0.2,10,72,10,1,48,Matches,6260cc9d
130,Yimmi Chará,co COL,MFFW,Portland Timbers,31-090,1991,17.3,700,869,80.6,11990,3340,360,401,89.8,258,304,84.9,72,134,53.7,3,2.4,0.6,33,62,16,0,72,Matches,9df9baab
