Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
673,Santiago Sosa,ar ARG,MF,Atlanta Utd,23-060,1999,6,325,54,22.6,3.6,3,86,0,3,22,1,1.33,5,3,+2,+0.55,+0.72,5.7,4.5,+1.3,+0.35,+0.29,Matches,f080dd22
674,Ryan Spaulding,us USA,DF,New England,23-295,1998,4,189,47,12.4,2.1,2,73,1,2,22,8,1.00,3,5,-2,-0.95,-1.15,1.9,4.1,-2.2,-1.06,-1.38,Matches,9fda5cd3
675,Steven Sserwadda,ug UGA,MF,NY Red Bulls,19-308,2002,1,13,13,0.8,0.1,0,,0,1,13,2,3.00,2,0,+2,+13.85,+13.51,1.3,0.0,+1.3,+9.12,+8.93,Matches,bddc8df4
676,Dayne St. Clair,ca CAN,GK,Minnesota Utd,25-054,1997,15,1350,90,88.2,15.0,15,90,15,0,,2,1.27,18,19,-1,-0.07,-0.07,18.2,25.5,-7.3,-0.49,-0.68,Matches,3f41d25f
677,Mason Stajduhar,us USA,GK,Orlando City,24-212,1997,1,90,90,5.9,1.0,1,90,1,0,,13,1.00,1,1,0,0.00,+0.19,0.6,1.7,-1.1,-1.08,-0.86,Matches,f01df62c
678,Daniel Steres,us USA,DF,Houston Dynamo,31-233,1990,8,585,73,38.2,6.5,6,87,5,2,33,2,1.38,7,6,+1,+0.15,+0.25,7.6,9.0,-1.4,-0.21,-0.11,Matches,17c03c76
679,Jared Stroud,us USA,MF,Austin FC,25-357,1996,1,23,23,1.5,0.3,0,,0,1,23,3,1.00,0,2,-2,-7.83,-8.66,0.0,1.9,-1.9,-7.32,-7.37,Matches,5d018899
680,Brad Stuver,us USA,GK,Austin FC,31-077,1991,15,1268,85,82.9,14.1,15,85,14,0,,0,2.07,29,17,+12,+0.85,+0.85,22.7,22.4,+0.3,+0.02,+0.51,Matches,6a1940d5
681,Quinn Sullivan,us USA,MFFW,Philadelphia,18-097,2004,7,159,23,10.4,1.8,1,80,0,6,13,7,2.43,2,1,+1,+0.57,+0.04,2.6,1.9,+0.7,+0.41,-0.04,Matches,92f62cfe
682,Ben Sweat,us USA,DF,Sporting KC,30-301,1991,9,579,64,35.7,6.4,7,81,4,2,8,9,0.78,6,8,-2,-0.31,+0.90,4.8,8.3,-3.5,-0.54,+0.12,Matches,6937b1ac
683,Karol Świderski,pl POL,FW,Charlotte FC,25-160,1997,14,1183,85,73.0,13.1,14,85,6,0,,0,1.14,12,14,-2,-0.15,+0.47,12.5,16.0,-3.5,-0.27,-0.52,Matches,41723204
684,Ismael Tajouri-Shradi,ly LBY,FWMF,Los Angeles FC,28-096,1994,5,160,32,10.5,1.8,0,,0,5,32,0,2.40,5,2,+3,+1.69,+0.77,3.9,2.4,+1.5,+0.85,+0.17,Matches,ef4249ff
685,Andrew Tarbell,us USA,GK,Austin FC,28-268,1993,3,262,87,17.1,2.9,2,90,2,1,82,14,1.00,3,3,0,0.00,-0.85,2.5,3.9,-1.4,-0.49,-0.51,Matches,c5487a34
686,D.J. Taylor,us USA,DF,Minnesota Utd,24-310,1997,11,770,70,50.3,8.6,8,86,6,3,26,4,1.27,10,12,-2,-0.23,-0.35,10.1,14.3,-4.2,-0.49,-0.17,Matches,ed4dc7f4
687,Robert Taylor,fi FIN,MFFW,Inter Miami,27-254,1994,15,1005,67,69.8,11.2,11,78,4,4,37,0,1.40,12,20,-8,-0.72,-0.72,13.4,17.5,-4.1,-0.37,-0.25,Matches,1fc0973f
688,Russell Teibert,ca CAN,MF,Vancouver,29-192,1992,14,1029,74,67.3,11.4,12,80,7,2,35,0,1.07,9,16,-7,-0.61,-0.07,11.4,16.3,-4.9,-0.43,-0.26,Matches,674befe9
