ID,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG2,xA3,xG+xA,npxG4,npxG+xA5
109,Francisco Calvo,cr CRC,DF,San Jose,29-358,1992,13,13,1170,13,2,0,2,0,0,4,0,0.15,0,0.15,0.15,0.15,1.6,1.6,0.2,1.8,0.12,0.02,0.14,0.12,0.14
110,Rudy Camacho,fr FRA,DF,CF Montréal,31-118,1991,15,15,1350,15,1,0,1,0,0,4,0,0.07,0,0.07,0.07,0.07,0.3,0.3,0.4,0.6,0.02,0.02,0.04,0.02,0.04
111,Geoff Cameron,us USA,DF,FC Cincinnati,36-355,1985,11,10,875,9.7,0,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0.2,0.6,0.04,0.02,0.06,0.04,0.06
112,Leonardo Campana,ec ECU,FW,Inter Miami,21-342,2000,16,14,1069,11.9,7,1,7,0,0,0,0,0.59,0.08,0.67,0.59,0.67,5.5,5.5,1.7,7.2,0.46,0.14,0.61,0.46,0.61
113,George Campbell,us USA,DF,Atlanta Utd,21-009,2001,12,9,890,9.9,0,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0.6,0.9,0.03,0.06,0.09,0.03,0.09
114,Russell Canouse,us USA,MF,D.C. United,27-020,1995,11,10,858,9.5,1,1,1,0,0,3,0,0.1,0.1,0.21,0.1,0.21,0.4,0.4,0.7,1.2,0.05,0.08,0.12,0.05,0.12
115,Nathan Cardoso,br BRA,DF,San Jose,27-049,1995,9,9,741,8.2,1,0,1,0,0,3,0,0.12,0,0.12,0.12,0.12,0.8,0.8,0.1,0.8,0.09,0.01,0.1,0.09,0.1
116,Antonio Carlos,br BRA,DF,Orlando City,29-116,1993,7,6,512,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.4,0.07,0,0.07,0.07,0.07
117,Julián Carranza,ar ARG,FW,Philadelphia,22-040,2000,14,14,1008,11.2,4,3,3,1,1,7,1,0.36,0.27,0.62,0.27,0.54,4.8,4.1,0.6,4.6,0.43,0.05,0.48,0.36,0.41
118,Adalberto Carrasquilla,pa PAN,MF,Houston Dynamo,23-215,1998,15,11,1044,11.6,1,0,1,0,0,7,1,0.09,0,0.09,0.09,0.09,0.9,0.9,0.9,1.8,0.08,0.08,0.16,0.08,0.16
