Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
74,Tristan Blackmon,us USA,DF,Vancouver,25-324,1996,8.9,1,0,0,4,5,1,1,26,10,0,0,0,76,18,8,69.2,Matches,7f35d14e
75,Andre Blake,jm JAM,GK,Philadelphia,31-223,1990,17.0,1,0,0,0,1,0,0,0,0,0,0,0,99,0,0,,Matches,b3b21a11
76,Sebastián Blanco,ar ARG,FWMF,Portland Timbers,34-109,1988,9.4,4,0,0,10,16,1,37,5,5,0,0,0,48,4,11,26.7,Matches,4ddd0834
77,Latif Blessing,gh GHA,MF,Los Angeles FC,25-184,1996,7.8,0,0,0,11,26,2,2,15,13,0,0,0,91,9,12,42.9,Matches,5153d32e
78,Emmanuel Boateng,gh GHA,FWMF,New England,28-166,1994,5.7,1,0,0,7,6,2,21,6,2,0,0,0,30,2,5,28.6,Matches,25f77a5f
79,Blake Bodily,us USA,DFFW,Portland Timbers,24-170,1998,0.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches,612a0951
80,Jonathan Bond,eng ENG,GK,LA Galaxy,29-044,1993,16.0,1,0,0,0,3,0,0,0,0,0,0,0,84,0,0,,Matches,c3a86eea
81,Pablo Bonilla,ve VEN,DF,Portland Timbers,22-212,1999,2.8,0,1,0,4,8,0,4,2,4,0,0,0,21,8,2,80.0,Matches,da23cdc3
82,Alex Bono,us USA,GK,Toronto FC,28-068,1994,14.0,0,0,0,0,3,0,0,0,0,0,0,0,99,0,0,,Matches,aa28a396
83,Jonathan Bornstein,us USA,DFFW,Chicago Fire,37-237,1984,5.7,0,0,0,8,3,0,11,11,8,0,0,0,45,16,7,69.6,Matches,79a6c95f
84,Dylan Borrero,co COL,FW,New England,20-178,2002,4.0,1,0,0,0,6,0,10,5,6,0,0,0,14,1,6,14.3,Matches,a72d14de
85,Gustavo Bou,ar ARG,FW,New England,32-134,1990,7.4,2,0,0,7,4,8,16,6,2,0,0,0,38,4,4,50.0,Matches,3dfcc735
86,Ousseni Bouda,bf BFA,FW,San Jose,22-065,2000,1.2,2,0,0,5,2,0,3,1,3,1,0,0,8,2,0,100.0,Matches,0672f944
87,Michael Boxall,nz NZL,DF,Minnesota Utd,33-318,1988,15.0,6,0,0,20,4,0,1,39,15,0,1,0,122,28,14,66.7,Matches,6bfa0d3a
88,Michael Bradley,us USA,MF,Toronto FC,34-336,1987,16.9,2,0,0,12,22,0,2,30,23,0,0,0,227,13,21,38.2,Matches,fd5e3a73
89,Zachary Brault-Guillard,ca CAN,DF,CF Montréal,23-184,1998,3.7,0,0,0,0,2,0,13,5,3,0,0,0,22,2,6,25.0,Matches,948a58c2
90,Claudio Bravo,ar ARG,DF,Portland Timbers,25-111,1997,10.7,6,1,1,17,11,0,19,39,30,0,2,0,129,13,14,48.1,Matches,5619c5e8
91,Brenner,br BRA,FW,FC Cincinnati,22-167,2000,7.2,2,0,0,5,10,1,9,1,13,0,0,0,29,3,11,21.4,Matches,279508bf
92,Sebastian Breza,ca CAN,GK,CF Montréal,24-109,1998,17.0,1,0,0,1,2,0,0,0,0,0,0,0,69,0,0,,Matches,52e7f812
93,Emiliano Brienza,ca CAN,FW,Vancouver,20-054,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,Matches,b54cf257
94,Andrew Brody,us USA,DF,Real Salt Lake,27-060,1995,16.3,1,0,0,6,11,1,34,31,11,0,0,0,135,18,11,62.1,Matches,33e46323
95,Brandt Bronico,us USA,MF,Charlotte FC,27-012,1995,16.7,4,0,0,38,14,0,2,31,19,0,0,0,178,25,13,65.8,Matches,bd4460b1
96,Javain Brown,jm JAM,DF,Vancouver,23-115,1999,11.9,3,0,0,14,6,1,33,29,17,0,0,0,81,20,16,55.6,Matches,3d14c62e
97,Will Bruin,us USA,FW,Seattle,32-251,1989,4.3,1,0,0,4,7,4,2,2,1,0,0,0,12,7,11,38.9,Matches,87a6ac29
98,Adam Buksa,pl POL,FW,New England,25-355,1996,9.1,3,1,1,20,19,2,1,3,1,0,0,0,29,44,41,51.8,Matches,3b676989
99,Teal Bunbury,us USA,FW,Nashville,32-125,1990,1.3,0,0,0,3,3,0,0,0,2,0,0,0,4,2,10,16.7,Matches,3077fce8
100,Nkosi Burgess,us USA,DF,FC Dallas,25-112,1997,7.0,1,0,0,5,3,0,1,11,7,0,0,0,46,16,11,59.3,Matches,4a07ae31
101,Cory Burke,jm JAM,FW,Philadelphia,30-186,1991,6.9,4,0,0,22,9,2,7,2,8,0,0,0,40,44,38,53.7,Matches,39fde61c
102,Handwalla Bwana,so SOM,FW,Nashville,25-007,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches,b56080ee
103,Brandon Bye,us USA,DF,New England,26-215,1995,13.0,2,0,0,15,14,0,61,19,10,0,0,0,104,39,19,67.2,Matches,9fcd12af
104,Kevin Cabral,fr FRA,FWMF,LA Galaxy,22-357,1999,9.7,1,1,0,18,19,1,21,6,10,1,0,0,45,4,20,16.7,Matches,42af215b
105,Deiber Caicedo,co COL,FWMF,Vancouver,22-099,2000,10.9,2,0,0,9,18,6,30,6,8,1,0,0,58,3,26,10.3,Matches,9bfa2f52
106,Scott Caldwell,us USA,MF,Real Salt Lake,31-109,1991,9.9,5,0,0,16,14,0,1,19,9,0,0,0,100,5,9,35.7,Matches,4a54592d
107,Drake Callender,us USA,GK,Inter Miami,24-268,1997,8.0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0,,Matches,c4d9567d
108,Alexander Callens,pe PER,DF,NYCFC,30-059,1992,16.0,5,0,0,18,12,1,2,41,17,0,0,0,148,42,19,68.9,Matches,af34f10d
109,Francisco Calvo,cr CRC,DF,San Jose,29-359,1992,13.0,4,0,0,17,13,1,4,50,22,1,0,0,150,40,33,54.8,Matches,706bd23f
110,Rudy Camacho,fr FRA,DF,CF Montréal,31-119,1991,15.0,4,0,0,20,6,0,3,42,10,0,1,0,175,39,14,73.6,Matches,6ad16d47
111,Geoff Cameron,us USA,DF,FC Cincinnati,36-356,1985,9.7,2,0,0,11,8,0,2,28,13,0,1,0,96,22,18,55.0,Matches,1a160ea3
112,Leonardo Campana,ec ECU,FW,Inter Miami,21-343,2000,11.9,0,0,0,22,15,7,4,5,6,0,0,0,24,21,56,27.3,Matches,bf9c0749
113,George Campbell,us USA,DF,Atlanta Utd,21-010,2001,10.9,3,0,0,14,10,0,0,38,12,0,0,0,108,35,17,67.3,Matches,45e1a597
114,Russell Canouse,us USA,MF,D.C. United,27-021,1995,9.5,3,0,0,22,14,0,3,13,15,0,0,0,74,7,23,23.3,Matches,ec730d9a
115,Nathan Cardoso,br BRA,DF,San Jose,27-050,1995,8.2,3,0,0,10,11,0,0,33,15,0,1,0,77,22,9,71.0,Matches,d4438745
116,Antonio Carlos,br BRA,DF,Orlando City,29-117,1993,5.7,1,0,0,7,6,0,1,16,5,0,0,0,36,12,8,60.0,Matches,949fe1e8
117,Julián Carranza,ar ARG,FW,Philadelphia,22-041,2000,11.2,7,1,1,37,37,8,7,7,14,1,0,0,43,25,57,30.5,Matches,3e9ae1db
118,Adalberto Carrasquilla,pa PAN,MF,Houston Dynamo,23-216,1998,11.6,7,1,1,25,27,0,8,25,14,0,0,0,114,10,6,62.5,Matches,f087912d
119,Javier Casas,us USA,MF,Chicago Fire,19-049,2003,0.2,1,0,0,2,0,0,0,1,0,0,0,0,2,0,0,,Matches,2ed8d81b
120,Julio Cascante,cr CRC,DF,Austin FC,28-272,1993,16.0,3,0,0,22,15,0,2,28,15,0,0,0,120,53,35,60.2,Matches,cc120b4f
121,Cristian Cásseres Jr.,ve VEN,MFFW,NY Red Bulls,22-163,2000,12.1,6,0,0,42,21,0,8,26,32,0,0,0,180,23,18,56.1,Matches,f86fe8c1
122,Valentín Castellanos,ar ARG,FW,NYCFC,23-272,1998,12.6,7,0,0,30,23,8,17,7,9,1,0,0,59,49,45,52.1,Matches,da76bab4
123,Lucas Cavallini,ca CAN,FW,Vancouver,29-186,1992,10.7,5,0,0,30,45,2,9,3,10,1,0,0,45,44,46,48.9,Matches,dd8de641
124,Roman Celentano,us USA,GK,FC Cincinnati,21-291,2000,10.0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,,Matches,42ba8628
125,Darwin Cerén,sv SLV,MF,Houston Dynamo,32-183,1989,7.5,3,0,0,15,10,1,3,22,15,0,0,0,51,3,10,23.1,Matches,a58de3f0
126,Edwin Cerrillo,us USA,MF,FC Dallas,21-272,2000,8.7,3,0,0,17,6,0,2,10,17,0,1,0,84,3,8,27.3,Matches,bd060315
127,Maikel Chang,cu CUB,MFFW,Real Salt Lake,31-075,1991,11.0,0,0,0,6,8,2,36,12,16,0,0,0,80,7,12,36.8,Matches,04cc9edd
128,Maxime Chanot,lu LUX,DF,NYCFC,32-223,1989,3.7,0,0,0,4,7,0,0,7,2,0,0,0,39,14,7,66.7,Matches,ca366055
129,Diego Chará,co COL,MF,Portland Timbers,36-088,1986,14.1,6,0,0,34,32,1,3,28,22,0,0,0,150,9,10,47.4,Matches,6260cc9d
130,Yimmi Chará,co COL,MFFW,Portland Timbers,31-091,1991,17.3,1,0,0,18,23,4,22,30,24,1,0,0,149,2,17,10.5,Matches,9df9baab
131,Mathieu Choiniere,ca CAN,DFMF,CF Montréal,23-145,1999,6.6,0,0,0,6,9,0,12,8,10,0,0,0,42,4,8,33.3,Matches,017459bb
132,Léo Chú,br BRA,FWMF,Seattle,22-087,2000,5.2,0,0,0,10,9,1,11,6,10,0,0,0,24,2,1,66.7,Matches,d88ebbe9
133,Kadin Chung,ca CAN,DF,Toronto FC,23-300,1998,5.0,1,0,0,2,9,0,3,13,5,0,1,0,35,8,8,50.0,Matches,d616ce40
134,José Cifuentes,ec ECU,MF,Los Angeles FC,23-112,1999,13.0,6,0,0,31,12,0,18,16,27,0,0,0,113,11,15,42.3,Matches,8c8c07a7
135,Ronaldo Cisneros,mx MEX,FW,Atlanta Utd,25-175,1997,9.2,0,0,0,2,3,3,6,5,1,0,0,0,25,11,22,33.3,Matches,e526c193
136,Abdoulaye Cissoko,fr FRA,DF,Seattle,22-187,1999,3.1,0,0,0,3,3,0,0,6,4,0,0,0,21,2,3,40.0,Matches,52a6ef30
137,Caden Clark,us USA,MFFW,NY Red Bulls,19-036,2003,1.6,1,0,0,9,4,1,1,2,1,0,0,0,11,2,10,16.7,Matches,6e327d0d
138,Steve Clark,us USA,GK,Houston Dynamo,36-079,1986,16.0,1,0,0,1,1,0,0,0,0,0,1,0,70,0,0,,Matches,ed6320b7
139,Stefan Cleveland,us USA,GK,Seattle,28-038,1994,3.0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,,Matches,873fdbdf
140,Jackson Conway,us USA,FWMF,Atlanta Utd,20-211,2001,0.4,1,0,0,2,1,0,0,0,1,0,0,0,1,1,5,16.7,Matches,1cfa6e1a
141,Gabriele Corbo,it ITA,DF,CF Montréal,22-172,2000,3.8,0,0,0,6,0,0,1,8,2,0,0,0,21,6,3,66.7,Matches,091795f2
142,Sergio Córdova,ve VEN,FW,Real Salt Lake,24-327,1997,12.2,1,0,0,16,30,9,4,0,8,0,0,0,67,36,59,37.9,Matches,229cd98a
143,Carlos Coronel,br BRA,GK,NY Red Bulls,25-185,1996,17.0,1,0,0,0,1,0,0,0,0,0,0,0,89,0,0,,Matches,5c07e176
144,Guzmán Corujo,uy URU,DF,Charlotte FC,25-334,1996,18.0,3,0,0,17,16,0,1,36,22,0,1,0,122,29,23,55.8,Matches,5c6051ad
145,Douglas Costa,br BRA,MFFW,LA Galaxy,31-291,1990,8.4,3,1,0,15,6,3,16,1,1,0,0,0,36,3,8,27.3,Matches,4fa7cb9b
146,Séga Coulibaly,fr FRA,DF,LA Galaxy,26-023,1996,9.8,5,0,0,17,17,0,0,15,11,0,0,0,78,19,18,51.4,Matches,dab9537e
147,Cade Cowell,us USA,FWMF,San Jose,18-261,2003,9.9,2,0,0,8,8,2,20,7,7,0,0,0,33,3,17,15.0,Matches,f8e95f87
148,Maxime Crépeau,ca CAN,GK,Los Angeles FC,28-052,1994,16.0,2,0,0,0,2,0,0,0,0,0,0,0,86,0,0,,Matches,ea42e480
149,Daniel Crisostomo,us USA,MF,Los Angeles FC,25-167,1997,0.3,1,0,0,3,0,0,0,1,0,0,0,0,2,1,0,100.0,Matches,33fdd2aa
150,Cody Cropper,us USA,GK,Vancouver,29-136,1993,7.2,1,0,0,1,1,0,0,0,0,0,1,0,32,0,0,,Matches,aa133046
151,Allan Cruz,cr CRC,MF,FC Cincinnati,26-128,1996,1.6,2,0,0,6,0,1,2,7,3,0,0,0,5,1,1,50.0,Matches,030105a5
152,Adrián Cubas,py PAR,MF,Vancouver,26-041,1996,2.0,1,0,0,5,0,0,0,7,5,0,0,0,21,1,0,100.0,Matches,9b40a6ea
153,Rafael Czichos,de GER,DF,Chicago Fire,32-049,1990,11.9,3,1,1,16,9,0,1,30,18,0,0,1,117,39,24,61.9,Matches,b0a0698b
