Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches,-9999
86,Ousseni Bouda,bf BFA,FW,San Jose,22-065,2000,1.2,67,4,7,30,37,9,65,3,4,75.0,3,0,46,285,173,11,4,2,3,2,56,45,80.4,4,Matches,0672f944
87,Michael Boxall,nz NZL,DF,Minnesota Utd,33-318,1988,15.0,703,140,428,285,27,9,679,1,2,50.0,1,0,377,2301,1393,28,8,0,3,0,385,380,98.7,1,Matches,6bfa0d3a
88,Michael Bradley,us USA,MF,Toronto FC,34-336,1987,16.9,1176,87,355,700,188,7,1123,9,15,60.0,9,1,742,3676,1795,59,13,2,3,10,782,750,95.9,17,Matches,fd5e3a73
89,Zachary Brault-Guillard,ca CAN,DF,CF Montréal,23-184,1998,3.7,215,7,40,89,100,9,185,3,7,42.9,3,0,152,717,337,16,9,2,2,3,160,138,86.3,15,Matches,948a58c2
90,Claudio Bravo,ar ARG,DF,Portland Timbers,25-111,1997,10.7,901,78,344,418,197,11,808,13,25,52.0,13,3,546,2918,1747,61,15,1,8,7,523,497,95.0,16,Matches,5619c5e8
91,Brenner,br BRA,FW,FC Cincinnati,22-167,2000,7.2,302,3,25,120,173,43,287,10,12,83.3,10,0,217,983,437,25,9,9,17,14,311,226,72.7,63,Matches,279508bf
92,Sebastian Breza,ca CAN,GK,CF Montréal,24-109,1998,17.0,517,448,513,6,0,0,368,0,0,,0,0,243,1058,513,1,0,0,1,0,207,206,99.5,1,Matches,52e7f812
93,Emiliano Brienza,ca CAN,FW,Vancouver,20-054,2002,0.0,7,0,2,4,2,1,6,0,0,,0,0,3,22,15,0,0,0,0,0,6,4,66.7,1,Matches,b54cf257
94,Andrew Brody,us USA,DF,Real Salt Lake,27-060,1995,16.3,947,58,260,479,286,21,843,9,24,37.5,11,2,574,3734,2282,92,37,6,18,15,599,548,91.5,19,Matches,33e46323
95,Brandt Bronico,us USA,MF,Charlotte FC,27-012,1995,16.7,1036,63,338,637,119,2,1008,7,12,58.3,7,0,602,3298,1522,45,16,0,5,10,709,677,95.5,10,Matches,bd4460b1
96,Javain Brown,jm JAM,DF,Vancouver,23-115,1999,11.9,689,69,291,267,158,19,596,8,12,66.7,8,0,368,1118,612,27,11,2,10,9,409,376,91.9,25,Matches,3d14c62e
97,Will Bruin,us USA,FW,Seattle,32-251,1989,4.3,146,1,8,82,62,16,144,3,4,75.0,3,0,95,289,144,9,3,2,6,12,188,124,66.0,38,Matches,87a6ac29
98,Adam Buksa,pl POL,FW,New England,25-355,1996,9.1,287,12,28,153,121,62,270,6,12,50.0,7,2,161,659,342,15,5,3,26,23,365,210,57.5,54,Matches,3b676989
99,Teal Bunbury,us USA,FW,Nashville,32-125,1990,1.3,59,4,6,37,17,6,55,2,3,66.7,2,0,37,65,20,1,0,0,7,4,79,41,51.9,10,Matches,3077fce8
100,Nkosi Burgess,us USA,DF,FC Dallas,25-112,1997,7.0,475,85,320,164,9,3,458,2,2,100.0,2,0,328,1204,514,7,0,0,3,1,347,344,99.1,1,Matches,4a07ae31
101,Cory Burke,jm JAM,FW,Philadelphia,30-186,1991,6.9,263,12,23,113,143,58,261,7,14,50.0,8,1,139,783,482,20,10,11,28,15,295,178,60.3,44,Matches,39fde61c
102,Handwalla Bwana,so SOM,FW,Nashville,25-007,1997,0.1,8,0,1,4,5,0,8,1,1,100.0,1,0,8,72,55,5,2,0,0,0,10,8,80.0,1,Matches,b56080ee
103,Brandon Bye,us USA,DF,New England,26-215,1995,13.0,926,54,253,420,299,34,803,15,22,68.2,16,1,539,2413,1305,61,15,5,12,11,613,574,93.6,62,Matches,9fcd12af
104,Kevin Cabral,fr FRA,FWMF,LA Galaxy,22-357,1999,9.7,361,3,38,141,203,60,356,9,30,30.0,12,2,272,1404,770,50,7,14,20,14,381,263,69.0,67,Matches,42af215b
105,Deiber Caicedo,co COL,FWMF,Vancouver,22-099,2000,10.9,413,2,42,159,244,44,375,15,26,57.7,16,1,302,1724,739,46,9,12,18,12,381,282,74.0,80,Matches,9bfa2f52
