Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches,-9999
391,Jimmy Maurer,us USA,GK,FC Dallas,33-261,1988,2.0,67,60,67,0,0,0,51,0,0,,0,0,37,154,57,0,0,0,0,0,37,37,100.0,0,Matches,ca1c6f3d
392,José Mauri,it ITA,MF,Sporting KC,26-047,1996,0.3,25,0,6,20,1,0,25,0,0,,0,0,19,50,29,1,0,0,0,1,23,23,100.0,0,Matches,644faf10
393,Chris Mavinga,cd COD,DF,Toronto FC,31-037,1991,4.8,290,49,158,137,14,0,279,0,0,,0,0,170,929,431,7,3,0,0,4,163,160,98.2,0,Matches,fda36cfb
394,Max,br BRA,FWMF,Colorado Rapids,21-051,2001,3.5,180,5,15,97,82,9,179,5,9,55.6,5,1,132,752,401,25,8,2,10,7,164,140,85.4,29,Matches,67c3efa4
395,Olivier Mbaizo,cm CMR,DF,Philadelphia,24-321,1997,2.4,139,8,34,59,53,4,115,1,6,16.7,2,0,70,312,197,13,2,1,1,2,87,77,88.5,9,Matches,f6315619
396,John McCarthy,us USA,GK,Los Angeles FC,29-363,1992,1.0,38,37,38,0,0,0,24,0,0,,0,0,14,40,22,0,0,0,0,0,10,10,100.0,0,Matches,249362e9
397,Dax McCarty,us USA,MF,Nashville,35-063,1987,8.5,581,35,159,335,123,13,560,6,10,60.0,7,1,370,1585,838,29,8,0,10,6,410,381,92.9,17,Matches,b74e58c0
398,Aiden McFadden,us USA,DF,Atlanta Utd,23-277,1998,1.9,119,10,35,61,34,3,93,5,8,62.5,5,0,63,365,236,13,6,1,1,4,69,60,87.0,3,Matches,eed1b8f6
399,Jack McGlynn,us USA,MF,Philadelphia,18-360,2003,1.6,131,4,23,81,37,0,128,1,2,50.0,1,0,94,552,251,9,1,0,0,1,96,86,89.6,6,Matches,e2b8c25c
400,Zac McGraw,us USA,DF,Portland Timbers,25-024,1997,5.6,309,81,199,101,15,3,302,1,2,50.0,1,0,139,682,287,7,2,0,1,1,164,161,98.2,0,Matches,83129dc7
401,Thomas McNamara,us USA,MF,New England,31-146,1991,13.4,797,39,234,433,176,12,776,7,9,77.8,8,0,548,2213,980,32,12,1,12,13,622,577,92.8,35,Matches,ab36595d
402,Quinn McNeill,us USA,MF,Charlotte FC,23-306,1998,0.3,28,0,3,19,7,0,28,0,0,,0,0,23,100,43,1,0,0,2,0,25,24,96.0,2,Matches,2a9b1a97
403,Christopher McVey,se SWE,DF,Inter Miami,25-081,1997,16.0,942,111,521,389,99,13,861,8,13,61.5,9,1,546,3158,1837,39,10,2,7,8,608,586,96.4,6,Matches,149d8165
404,Ryan Meara,us USA,GK,NY Red Bulls,31-229,1990,1.0,30,25,30,0,0,0,23,0,0,,0,0,12,60,34,0,0,0,0,0,9,9,100.0,0,Matches,18f0723b
405,Jimmy Medranda,co COL,DFMF,Seattle,28-145,1994,3.0,180,9,40,88,59,5,170,3,5,60.0,3,0,106,484,257,17,2,0,2,2,119,107,89.9,15,Matches,6f7ac622
406,Haris Medunjanin,ba BIH,MF,FC Cincinnati,37-116,1985,4.3,337,14,76,200,81,1,298,1,1,100.0,1,0,208,899,431,15,6,0,2,3,228,221,96.9,10,Matches,de5d5d41
407,Tim Melia,us USA,GK,Sporting KC,36-048,1986,18.0,554,476,551,6,1,0,367,0,0,,0,0,254,1020,569,1,0,0,0,0,230,230,100.0,0,Matches,cc741f50
408,Jhegson Méndez,ec ECU,MF,Orlando City,25-067,1997,4.1,325,16,94,213,39,1,315,0,2,0.0,0,0,245,1144,543,17,2,0,1,3,244,239,98.0,3,Matches,db0c5324
409,Jonathan Mensah,gh GHA,DF,Columbus Crew,31-354,1990,15.0,1030,183,562,462,45,12,990,4,4,100.0,4,0,660,2666,1106,22,5,0,1,3,684,676,98.8,2,Matches,8087e6cb
410,Justin Meram,iq IRQ,MFFW,Real Salt Lake,33-210,1988,14.3,750,8,80,379,364,35,675,17,34,50.0,17,2,547,3397,1857,104,39,10,34,22,642,530,82.6,66,Matches,ae34c71d
411,Romain Métanire,mg MAD,DF,Minnesota Utd,32-096,1990,0.3,23,2,8,8,8,0,22,0,1,0.0,0,0,15,72,34,1,1,0,0,0,17,17,100.0,0,Matches,0fb21da9
412,Nicolás Mezquida,uy URU,MFFW,Colorado Rapids,30-162,1992,1.2,85,3,13,37,37,6,78,2,2,100.0,2,0,49,157,93,6,1,1,4,2,52,43,82.7,11,Matches,00b629e1
413,Benji Michel,us USA,FW,Orlando City,24-252,1997,7.2,256,11,43,106,126,40,255,16,29,55.2,16,0,200,984,477,26,8,6,22,23,253,183,72.3,58,Matches,151ca25f
414,Djordje Mihailovic,us USA,MFFW,CF Montréal,23-234,1998,11.9,705,10,77,384,286,33,632,19,29,65.5,22,2,507,2855,1363,67,22,9,29,23,610,506,83.0,76,Matches,83cf9719
415,Matko Miljevic,us USA,MFFW,CF Montréal,21-054,2001,4.1,240,0,29,125,101,14,226,2,6,33.3,2,0,186,1069,512,22,5,4,14,10,207,177,85.5,24,Matches,74b76abc
416,Eric Miller,us USA,DF,Nashville,29-168,1993,8.8,497,36,197,240,77,5,439,2,3,66.7,2,0,280,1007,411,15,3,1,3,0,321,306,95.3,4,Matches,c0593f5d
417,Kamal Miller,ca CAN,DF,CF Montréal,25-047,1997,13.7,939,56,362,540,108,16,920,20,27,74.1,21,0,687,3134,1787,53,20,3,3,8,709,685,96.6,6,Matches,0646bd8a
418,Tyler Miller,us USA,GK,Minnesota Utd,29-112,1993,2.0,65,58,64,1,0,0,49,0,0,,0,0,33,217,156,0,0,0,0,0,18,18,100.0,0,Matches,7827a6b3
419,Kevin Molino,tt TRI,FW,Columbus Crew,32-015,1990,0.2,16,0,1,4,14,2,16,0,0,,0,0,15,93,60,2,2,0,1,2,14,13,92.9,3,Matches,371645ca
420,Jamiro Monteiro,cv CPV,MF,San Jose,28-221,1993,13.7,966,1,86,544,394,31,934,18,42,42.9,19,3,813,3702,1594,89,24,2,32,36,887,787,88.7,97,Matches,d384bddd
421,Fredy Montero,co COL,FWMF,Seattle,34-341,1987,7.3,302,4,19,160,134,37,283,2,6,33.3,2,1,214,1077,414,32,8,4,25,8,310,229,73.9,54,Matches,bc5b5be5
422,Kim Moonhwan,kr KOR,DF,Los Angeles FC,26-335,1995,0.9,64,1,18,42,8,0,53,0,0,,0,0,40,223,89,4,0,0,0,0,42,38,90.5,1,Matches,6bce7dd8
423,Drew Moor,us USA,DF,Colorado Rapids,38-168,1984,1.8,70,11,51,19,2,2,69,0,0,,0,0,36,120,45,0,0,0,0,0,44,44,100.0,1,Matches,220cf869
424,Felipe Mora,cl CHI,FW,Portland Timbers,28-334,1993,0.4,16,0,1,3,13,4,15,1,1,100.0,1,0,14,43,25,2,0,1,4,0,26,13,50.0,2,Matches,f4b0ea46
425,Joseph Mora,cr CRC,DF,Charlotte FC,29-168,1993,12.6,844,43,291,426,173,5,711,9,12,75.0,10,1,491,2331,1078,40,7,1,11,9,518,473,91.3,14,Matches,2af71023
426,Alfredo Morales,us USA,MFDF,NYCFC,32-051,1990,13.0,871,57,326,505,76,21,850,10,16,62.5,10,0,566,2074,975,28,2,1,7,8,611,580,94.9,9,Matches,ff45add5
427,Maximiliano Moralez,ar ARG,MF,NYCFC,35-125,1987,10.9,912,13,103,503,369,38,809,7,9,77.8,7,0,628,3149,1548,86,34,8,12,14,757,651,86.0,68,Matches,f99f37fc
428,Steven Moreira,fr FRA,DF,Columbus Crew,27-323,1994,14.2,1010,46,279,455,341,29,868,9,19,47.4,10,0,679,3550,2024,87,28,5,25,20,684,637,93.1,42,Matches,f10983ae
429,Junior Moreno,ve VEN,MF,FC Cincinnati,28-347,1993,13.4,749,42,218,429,140,6,733,8,12,66.7,8,1,447,1667,764,26,13,0,5,8,479,460,96.0,16,Matches,5dcb4ac4
430,Marcelino Moreno,ar ARG,MFFW,Atlanta Utd,28-007,1994,12.3,766,4,51,400,398,49,734,22,45,48.9,22,5,650,4276,2389,122,47,9,33,43,703,606,86.2,88,Matches,058c938c
431,Santiago Moreno,co COL,FWMF,Portland Timbers,22-072,2000,12.2,692,13,137,274,336,42,675,37,67,55.2,41,1,541,2747,1654,76,23,3,30,25,617,505,81.8,81,Matches,3261d0e4
432,Lewis Morgan,sct SCO,FWDF,NY Red Bulls,25-275,1996,16.0,786,25,105,318,426,66,704,14,39,35.9,15,2,488,3425,2085,106,37,19,24,31,591,446,75.5,81,Matches,b675e328
433,Aidan Morris,us USA,MF,Columbus Crew,20-228,2001,7.3,445,22,113,249,117,12,417,1,3,33.3,1,1,301,1397,630,26,8,2,17,7,305,285,93.4,9,Matches,3778339c
434,Jordan Morris,us USA,FW,Seattle,27-249,1994,10.8,380,12,51,164,197,65,378,6,12,50.0,6,0,264,1631,871,44,13,17,21,14,404,282,69.8,76,Matches,bd298d0d
435,Jean Mota,br BRA,MF,Inter Miami,28-260,1993,13.1,783,28,233,391,209,12,731,15,22,68.2,17,1,524,2393,1335,46,14,3,10,9,556,509,91.5,17,Matches,1ee0513b
436,João Moutinho,pt POR,DF,Orlando City,24-171,1998,16.0,1111,70,418,508,246,18,961,12,22,54.5,12,0,676,3225,1691,55,11,1,10,13,680,657,96.6,18,Matches,a0aee24e
437,Chris Mueller,us USA,FWMF,Chicago Fire,25-307,1996,6.9,434,5,55,178,236,52,423,12,23,52.2,13,1,347,1825,1190,59,17,19,18,25,425,347,81.6,62,Matches,a5334099
438,Hany Mukhtar,de GER,FWMF,Nashville,27-103,1995,16.0,822,4,57,406,424,99,716,24,48,50.0,26,2,558,3227,1853,104,30,23,59,44,847,601,71.0,171,Matches,87fe8526
439,Jake Mulraney,ie IRL,FWDF,Atlanta Utd,26-088,1996,2.0,112,1,27,55,44,4,109,4,10,40.0,4,0,96,590,305,15,5,2,5,0,112,92,82.1,12,Matches,0f04858e
440,Jake Mulraney,ie IRL,FW,Orlando City,26-088,1996,3.5,154,4,20,67,77,11,151,1,3,33.3,1,0,113,789,414,15,5,0,3,5,148,116,78.4,24,Matches,0f04858e
441,Eddie Munjoma,us USA,FWMF,FC Dallas,23-349,1998,0.1,4,1,1,3,0,0,4,0,0,,0,0,3,10,6,1,0,0,0,0,4,3,75.0,0,Matches,0e1f6ffa
442,Ian Murphy,us USA,DF,FC Cincinnati,22-167,2000,8.7,432,71,262,177,18,2,417,1,2,50.0,1,0,264,1396,730,14,3,0,3,3,259,258,99.6,1,Matches,c6d233e3
443,Daniel Musovski,us USA,FWMF,Los Angeles FC,26-214,1995,4.5,162,3,24,65,88,28,160,4,9,44.4,5,1,106,503,323,10,4,5,14,15,146,112,76.7,30,Matches,925a2703
444,Alex Muyl,us USA,DF,Nashville,26-275,1995,13.1,761,41,202,351,249,36,668,9,19,47.4,9,1,444,2025,1194,63,15,10,16,14,528,458,86.7,35,Matches,2c1025bf
445,Darlington Nagbe,us USA,MF,Columbus Crew,31-348,1990,15.8,967,34,226,621,220,10,959,13,15,86.7,14,0,772,5001,2386,105,41,2,16,13,762,730,95.8,28,Matches,6219c704
446,Andy Najar,hn HON,DF,D.C. United,29-108,1993,6.6,481,32,190,249,92,9,430,17,23,73.9,17,3,313,2091,1264,49,16,1,8,9,290,273,94.1,8,Matches,f8280175
447,Federico Navarro,ar ARG,MF,Chicago Fire,22-115,2000,12.3,733,42,223,438,117,2,720,18,22,81.8,19,0,513,2355,930,45,17,0,11,9,455,430,94.5,10,Matches,61c628be
448,Miguel Navarro,ve VEN,DF,Chicago Fire,23-126,1999,12.0,747,50,280,323,181,13,637,2,7,28.6,3,1,385,1757,972,29,13,1,13,6,419,381,90.9,18,Matches,3fbff39a
449,Logan Ndenbe,be BEL,DF,Sporting KC,22-143,2000,14.1,1026,40,268,478,377,6,860,8,14,57.1,9,0,656,3574,2189,81,46,2,20,13,693,627,90.5,37,Matches,f625e8a5
450,Dylan Nealis,us USA,DF,NY Red Bulls,23-337,1998,10.5,584,39,191,284,141,18,539,5,12,41.7,6,2,263,1545,882,35,16,1,12,8,297,264,88.9,20,Matches,24f4dd87
451,Sean Nealis,us USA,DF,NY Red Bulls,25-170,1997,18.0,901,122,514,372,55,30,883,3,4,75.0,3,0,415,2111,910,16,2,0,5,3,463,436,94.2,8,Matches,8c1b17b3
452,Jayden Nelson,ca CAN,MFFW,Toronto FC,19-279,2002,11.0,630,17,100,291,290,43,620,32,56,57.1,34,6,503,2234,1314,64,17,7,26,33,575,459,79.8,67,Matches,92305a81
453,John Nelson,us USA,DF,FC Cincinnati,23-356,1998,8.0,477,40,181,194,125,11,411,1,1,100.0,1,0,253,1127,636,34,12,1,5,4,277,257,92.8,13,Matches,df8c4d49
454,Michael Nelson,us USA,GK,Houston Dynamo,27-142,1995,1.0,33,28,33,0,0,0,20,0,0,,0,0,11,58,29,0,0,0,0,0,10,10,100.0,0,Matches,f4a12161
455,Jake Nerwinski,us USA,DF,Vancouver,27-258,1994,10.5,583,65,339,231,50,5,532,3,5,60.0,4,0,383,1761,943,25,2,0,4,8,390,383,98.2,1,Matches,2b5801d0
456,Serge Ngoma,us USA,MFFW,NY Red Bulls,16-358,2005,0.5,24,0,3,12,9,5,24,2,2,100.0,2,0,19,102,74,3,0,1,2,2,19,13,68.4,2,Matches,de7a0fe6
457,Jarosław Niezgoda,pl POL,FW,Portland Timbers,27-109,1995,11.6,319,15,38,140,167,44,300,7,18,38.9,9,4,203,1136,701,40,13,6,25,18,384,215,56.0,62,Matches,60c659b6
458,Chinonso Nnamdi Offor,ng NGA,FW,Chicago Fire,22-036,2000,2.9,120,4,13,55,57,15,117,4,7,57.1,4,1,79,285,138,7,1,1,10,8,126,88,69.8,24,Matches,dc590664
459,Tsiki Ntsabeleng,za RSA,MF,FC Dallas,24-143,1998,4.9,334,8,74,196,85,11,327,5,10,50.0,6,0,233,1454,673,29,10,2,7,7,251,236,94.0,16,Matches,bcbc53d5
460,Obinna Nwobodo,ng NGA,MF,FC Cincinnati,25-215,1996,7.9,554,35,147,345,98,3,551,9,11,81.8,9,0,336,1532,755,30,11,0,7,9,343,326,95.0,15,Matches,897c8066
461,Moses Nyeman,us USA,MF,D.C. United,18-239,2003,1.6,76,2,19,55,7,0,76,1,3,33.3,1,0,52,252,109,6,0,0,2,4,51,45,88.2,2,Matches,09d33255
462,Shane O'Neill,us USA,DF,Toronto FC,28-303,1993,12.0,771,136,422,341,48,8,751,2,2,100.0,2,0,463,2332,943,16,4,0,2,6,478,467,97.7,1,Matches,a62a56b4
463,Jáder Obrian,co COL,FW,FC Dallas,27-045,1995,8.8,337,13,54,152,159,53,332,15,25,60.0,15,1,246,1343,939,56,14,14,22,13,329,238,72.3,61,Matches,1471b2a8
464,Chris Odoi-Atsem,us USA,DF,D.C. United,27-035,1995,0.9,47,7,21,21,7,1,39,3,4,75.0,3,0,20,109,60,3,0,0,0,1,19,16,84.2,1,Matches,375ec69e
465,Noble Okello,ca CAN,MF,Toronto FC,21-347,2000,1.8,145,7,35,89,32,3,142,2,4,50.0,3,0,86,395,202,11,3,0,5,3,117,104,88.9,5,Matches,6bc16162
466,Wyatt Omsberg,us USA,DF,Chicago Fire,26-284,1995,14.0,767,129,498,294,20,14,743,0,0,,0,0,412,2101,933,16,0,0,2,1,429,423,98.6,3,Matches,cd44ba68
467,Kwadwo Opoku,gh GHA,FWMF,Los Angeles FC,20-354,2001,10.8,373,1,33,136,243,63,366,15,36,41.7,18,3,304,1946,1012,53,18,9,27,23,431,272,63.1,100,Matches,226a288e
468,Arquimides Ordonez,gt GUA,FWMF,FC Cincinnati,18-331,2003,0.5,26,0,6,6,14,7,26,3,4,75.0,3,0,20,60,28,3,0,3,1,3,23,16,69.6,4,Matches,8941d9b2
469,Jaziel Orozco,us USA,DF,Real Salt Lake,18-030,2004,3.5,158,21,96,63,6,4,154,1,1,100.0,1,0,94,442,197,3,0,0,0,0,97,94,96.9,1,Matches,46af4656
470,Christian Ortiz,ar ARG,MFFW,Charlotte FC,29-316,1992,7.1,301,3,38,131,143,19,272,5,12,41.7,6,2,182,842,360,18,5,2,16,7,256,192,75.0,39,Matches,bd8ddbd6
471,Jonathan Osorio,ca CAN,MF,Toronto FC,30-020,1992,9.5,737,29,139,411,228,19,724,20,30,66.7,20,4,564,2465,1242,61,18,0,19,15,612,547,89.4,39,Matches,70106ff6
472,Leonard Owusu,gh GHA,MF,Vancouver,25-029,1997,5.0,191,12,42,117,36,0,186,3,5,60.0,3,0,147,676,261,14,3,0,10,4,130,119,91.5,11,Matches,a06c6c8a
473,Maarten Paes,nl NED,GK,FC Dallas,24-049,1998,15.0,472,439,472,1,0,0,331,1,1,100.0,1,0,224,854,401,0,0,0,0,0,214,212,99.1,0,Matches,eb343262
474,Diego Palacios,ec ECU,DF,Los Angeles FC,22-355,1999,13.7,1110,46,308,492,388,23,958,27,47,57.4,28,5,716,3234,1829,76,29,6,18,22,706,667,94.5,46,Matches,6ec37f2e
475,Elliot Panicco,us USA,GK,Nashville,25-226,1996,1.0,34,34,34,0,0,0,21,0,0,,0,0,14,36,6,0,0,0,0,0,15,15,100.0,0,Matches,e93972ac
476,Cristhian Paredes,py PAR,MF,Portland Timbers,24-045,1998,13.8,689,39,202,349,182,30,685,13,18,72.2,13,0,423,1748,861,30,14,4,12,15,496,440,88.7,45,Matches,0d8a2551
477,Tim Parker,us USA,DF,Houston Dynamo,29-129,1993,11.8,726,154,492,250,8,4,695,0,0,,0,0,449,2181,892,20,1,0,0,2,518,517,99.8,2,Matches,4988a44d
478,Keaton Parks,us USA,MF,NYCFC,24-330,1997,10.1,681,27,193,385,156,18,670,12,15,80.0,12,1,462,2131,1309,36,14,2,12,8,539,505,93.7,33,Matches,77986763
479,Tyler Pasher,ca CAN,FW,Houston Dynamo,28-066,1994,6.2,265,1,28,97,159,23,257,5,14,35.7,7,0,199,1088,586,32,6,11,17,15,279,209,74.9,51,Matches,3a7bec1b
480,Alexandre Pato,br BRA,FW,Orlando City,32-303,1989,8.7,380,10,30,162,211,38,349,14,32,43.8,15,6,273,1085,567,30,8,8,20,14,381,280,73.5,66,Matches,7dd83c7d
481,João Paulo Mior,br BRA,MF,Seattle,31-116,1991,5.0,425,25,156,207,84,5,397,5,9,55.6,5,0,237,1085,475,14,5,0,5,2,288,279,96.9,2,Matches,b96aa1d6
482,Jason Pendant,fr FRA,DF,NY Red Bulls,25-143,1997,0.9,41,3,8,18,15,2,35,1,2,50.0,1,0,25,105,62,0,0,0,0,0,25,20,80.0,1,Matches,22fe9049
483,Andrés Perea,us USA,MF,Orlando City,21-230,2000,5.5,299,17,75,158,84,12,294,6,13,46.2,9,0,191,830,418,15,7,0,8,5,227,202,89.0,19,Matches,7e1dbecf
484,Daniel Pereira,ve VEN,MF,Austin FC,21-353,2000,12.3,791,29,254,444,168,5,780,6,8,75.0,6,0,549,3052,1587,47,18,1,9,20,634,602,95.0,18,Matches,b8862e65
485,Gabriel Pereira,br BRA,FW,NYCFC,20-335,2001,3.9,170,1,27,58,98,27,161,7,16,43.8,8,1,130,449,284,23,5,9,7,9,150,121,80.7,28,Matches,60c4ac82
486,Mauricio Pereyra,uy URU,MF,Orlando City,32-109,1990,14.7,1002,14,115,523,414,14,905,8,12,66.7,9,1,663,2360,1012,51,19,2,16,27,821,721,87.8,85,Matches,f45eb18d
487,Adrien Perez,us USA,MF,D.C. United,26-262,1995,1.5,83,1,8,41,41,3,82,0,1,0.0,1,0,66,416,254,8,3,0,6,1,67,54,80.6,7,Matches,298a167b
488,Jonathan Perez,mx MEX,DF,LA Galaxy,19-165,2003,0.1,3,0,0,0,3,0,3,0,0,,0,0,3,21,14,1,0,0,0,0,3,3,100.0,0,Matches,41e57408
489,Jordan Perruzza,ca CAN,FWMF,Toronto FC,21-167,2001,2.6,85,2,13,38,46,8,85,3,11,27.3,3,0,64,397,238,9,5,1,8,7,93,64,68.8,14,Matches,edc8791f
490,Luca Petrasso,ca CAN,DFFW,Toronto FC,22-016,2000,14.8,926,44,251,398,338,24,787,17,32,53.1,18,2,553,2803,1446,64,26,8,24,18,649,557,85.8,55,Matches,fafeaf3d
491,Đorđe Petrović,rs SRB,GK,New England,22-267,1999,4.0,135,120,135,0,0,0,100,0,0,,0,0,62,290,182,0,0,0,0,0,51,51,100.0,0,Matches,0cf321c8
492,Fafà Picault,us USA,FWMF,Houston Dynamo,31-129,1991,10.8,425,20,90,177,207,48,417,16,31,51.6,18,0,290,2033,1158,49,21,14,22,18,432,279,64.6,70,Matches,dbaa10c0
493,Kayden Pierre,us USA,DFFW,Sporting KC,19-136,2003,0.9,77,5,22,32,28,3,70,2,4,50.0,2,1,51,272,180,7,2,2,1,1,52,48,92.3,6,Matches,2f5f098b
494,Samuel Piette,ca CAN,MF,CF Montréal,27-232,1994,4.2,262,5,61,161,53,0,259,1,1,100.0,1,0,191,621,210,5,2,0,2,2,210,201,95.7,7,Matches,bc33c73b
495,Mauricio Pineda,us USA,MFDF,Chicago Fire,24-258,1997,10.2,561,39,203,305,89,14,546,4,9,44.4,4,0,396,1808,827,21,7,0,13,13,389,368,94.6,12,Matches,e0c17cde
496,Donovan Pines,us USA,DF,D.C. United,24-117,1998,7.5,403,57,215,184,23,7,378,2,3,66.7,2,0,198,1179,522,6,1,0,5,1,211,201,95.3,3,Matches,7bd25363
497,Matt Polster,us USA,MF,New England,29-024,1993,11.4,851,40,272,513,134,16,842,9,15,60.0,10,1,597,2992,1409,40,17,2,8,12,641,625,97.5,21,Matches,d1d418f8
498,Paxton Pomykal,us USA,MF,FC Dallas,22-197,1999,15.0,815,21,223,459,204,26,799,10,15,66.7,11,1,581,3253,1799,73,30,8,19,23,632,576,91.1,52,Matches,c1f0fb45
499,Alvas Powell,jm JAM,DF,FC Cincinnati,27-349,1994,10.8,590,36,190,279,167,13,490,13,25,52.0,14,0,345,2374,1442,56,18,6,10,12,328,303,92.4,18,Matches,2f91124d
500,Alejandro Pozuelo,es ESP,MFFW,Toronto FC,30-285,1991,14.6,1042,9,136,499,479,57,958,29,50,58.0,30,4,820,3537,1981,109,32,15,31,33,902,779,86.4,90,Matches,5e1280ff
501,Jack Price,eng ENG,MF,Colorado Rapids,29-195,1992,10.5,745,9,166,446,164,8,653,4,5,80.0,4,0,452,1726,845,29,9,1,3,1,532,516,97.0,13,Matches,6217c92d
502,Ralph Priso-Mbongue,ca CAN,MF,Toronto FC,19-334,2002,3.0,222,11,60,125,48,0,219,2,3,66.7,2,0,148,643,360,14,3,0,3,1,164,155,94.5,4,Matches,acb3e899
503,Kacper Przybyłko,pl POL,FW,Chicago Fire,29-099,1993,11.9,446,9,32,256,172,58,428,8,17,47.1,8,0,250,1006,362,21,8,2,27,15,565,356,63.0,93,Matches,4c53a714
504,Facundo Quignon,ar ARG,MF,FC Dallas,29-061,1993,9.1,661,46,235,373,80,10,635,2,7,28.6,4,1,389,1727,716,24,7,0,5,4,430,419,97.4,9,Matches,5b33b84c
505,Joshué Quiñónez,ec ECU,DF,FC Dallas,21-281,2000,0.5,47,3,20,21,10,0,45,0,0,,0,0,36,258,88,4,0,0,0,0,34,32,94.1,2,Matches,c7305b1d
506,Darwin Quintero,co COL,MFFW,Houston Dynamo,34-286,1987,10.1,592,4,40,253,333,36,536,28,46,60.9,31,2,446,1904,1128,61,17,3,19,27,542,432,79.7,63,Matches,0cc00553
507,Jairo Quinteros,bo BOL,DF,Inter Miami,21-145,2001,3.1,168,33,105,59,11,1,155,0,0,,0,0,90,428,214,6,2,0,2,1,106,103,97.2,0,Matches,8363a7e8
508,Romell Quioto,hn HON,FW,CF Montréal,30-327,1991,10.6,366,10,17,142,227,78,339,11,27,40.7,11,1,269,1350,672,37,10,17,31,24,468,279,59.6,83,Matches,122e850d
509,Jackson Ragen,us USA,DF,Seattle,23-281,1998,10.4,684,157,433,262,21,6,673,5,6,83.3,5,0,421,2070,973,12,5,0,3,2,467,462,98.9,1,Matches,a3d67f70
510,Ryan Raposo,ca CAN,DF,Vancouver,23-119,1999,7.5,452,23,112,176,192,27,384,5,10,50.0,6,0,268,1414,861,31,12,6,13,6,310,276,89.0,21,Matches,f006a9b3
511,Justin Rasmussen,us USA,DF,Portland Timbers,23-199,1998,7.2,427,43,171,191,82,6,380,4,5,80.0,5,0,236,955,447,23,4,1,7,6,277,264,95.3,14,Matches,989ecf23
512,Rayan Raveloson,mg MAD,MF,LA Galaxy,25-167,1997,14.1,838,40,210,482,210,34,823,12,21,57.1,14,0,592,3035,1614,68,20,5,17,12,696,633,90.9,40,Matches,fb3236a7
513,Matthew Real,us USA,MF,Philadelphia,22-357,1999,0.1,8,0,0,7,1,0,8,0,0,,0,0,3,10,8,0,0,0,0,0,4,2,50.0,0,Matches,1c2c030a
514,Rodney Redes,py PAR,FWMF,Austin FC,22-130,2000,0.9,42,1,8,19,17,4,37,1,2,50.0,1,0,23,123,53,2,0,0,1,2,32,21,65.6,2,Matches,426c3982
515,Benjamin Redzic,us USA,FW,FC Dallas,19-279,2002,0.1,5,0,0,2,4,1,5,0,0,,0,0,4,57,28,2,1,0,0,0,6,4,66.7,0,Matches,ea8087aa
516,Pierre Reedy,us USA,MF,Real Salt Lake,24-172,1998,0.1,7,0,4,2,2,0,7,1,2,50.0,1,2,5,10,10,1,0,0,1,0,5,3,60.0,0,Matches,903f2d95
517,Eric Remedi,ar ARG,MFDF,San Jose,27-028,1995,9.6,666,20,232,393,89,2,646,7,12,58.3,8,1,460,2595,1312,38,8,1,7,14,472,457,96.8,7,Matches,38e2cbd6
518,Justin Rennicks,us USA,FW,New England,23-104,1999,3.5,86,1,5,31,56,16,84,0,6,0.0,0,0,57,205,66,2,2,1,10,7,110,62,56.4,22,Matches,0aaa1c04
519,Ben Reveno,us USA,MF,New England,23-095,1999,0.0,5,2,5,0,0,0,5,0,0,,0,0,2,3,0,0,0,0,0,0,2,2,100.0,0,Matches,6f0a801a
520,Yordy Reyna,pe PER,FWMF,Charlotte FC,28-288,1993,2.8,99,3,14,40,55,16,97,2,11,18.2,4,0,79,407,231,17,3,5,8,8,115,68,59.1,19,Matches,eec316d9
521,Andre Reynolds II,us USA,DFMF,Chicago Fire,21-061,2001,1.4,82,2,21,34,30,0,69,1,1,100.0,1,0,45,172,98,4,2,0,2,1,51,44,86.3,3,Matches,d46dbe4f
522,Emanuel Reynoso,ar ARG,MFFW,Minnesota Utd,26-228,1995,16.6,1250,7,115,606,643,41,1094,64,113,56.6,70,8,948,4849,2745,157,54,11,66,61,1045,876,83.8,106,Matches,614b26e3
523,Will Richmond,us USA,FW,San Jose,22-087,2000,0.5,28,0,2,9,20,1,27,1,4,25.0,1,0,25,134,56,4,2,1,1,2,25,22,88.0,4,Matches,e46ee2e9
524,Tosaint Ricketts,ca CAN,FW,Vancouver,34-330,1987,1.8,57,1,7,30,22,5,54,1,4,25.0,1,0,29,113,29,3,1,1,3,2,66,42,63.6,7,Matches,54769358
525,Alexander Ring,fi FIN,MF,Austin FC,31-084,1991,16.0,869,44,255,411,254,50,851,9,12,75.0,9,2,601,2425,1146,52,18,6,12,22,718,635,88.4,90,Matches,6c1221d6
526,Rocco Ríos Novo,ar ARG,GK,Atlanta Utd,20-028,2002,3.0,153,111,152,2,0,0,129,0,0,,0,0,103,515,318,0,0,0,0,0,96,96,100.0,0,Matches,f59bd2d3
